"x","y"
-6.0,nan
-4.193548387096774,nan
-2.3870967741935485,nan
-0.580645161290323,nan
1.225806451612903,0.16293450613309507
3.032258064516128,0.980855430859589
4.838709677419354,1.8146119063044501
6.64516129032258,2.651662718611574
8.451612903225806,3.4901921891207843
10.258064516129032,4.3295567209484345
12.064516129032256,5.16945703713857
13.870967741935484,6.009733614871784
15.677419354838708,6.850293949837004
17.483870967741936,7.691080427513614
19.29032258064516,8.532054099186315
21.096774193548388,9.373185862940963
22.903225806451612,10.214451543441147
24.709677419354836,11.05582919354609
26.516129032258064,11.897297715951238
28.32258064516129,12.738836277693759
30.129032258064512,13.580424193278583
31.935483870967744,14.42204107194332
33.74193548387097,15.26366709922085
35.54838709677419,16.105283370786477
37.354838709677416,16.946872227520043
39.16129032258064,17.788417560727847
40.96774193548387,18.62990506936807
42.774193548387096,19.471322459451958
44.58064516129032,20.312659581202837
46.387096774193544,21.15390850319589
48.193548387096776,21.995063525243943
50.0,22.836121133691293
