"x","y"
-6.0,nan
-4.193548387096774,nan
-2.3870967741935485,nan
-0.580645161290323,nan
1.225806451612903,0.12253686877029171
3.032258064516128,5.34802117703942
4.838709677419354,10.844268401286822
6.64516129032258,16.372991720475643
8.451612903225806,21.91669984843366
10.258064516129032,27.46874216155422
12.064516129032256,33.02605474961373
13.870967741935484,38.587150745798965
15.677419354838708,44.151324806877454
17.483870967741936,49.718249315507144
19.29032258064516,55.28774321407254
21.096774193548388,60.85963706966695
22.903225806451612,66.43369913478881
24.709677419354836,72.00960179736423
26.516129032258064,77.58691453794965
28.32258064516129,83.16511353027308
30.129032258064512,88.7436008604398
31.935483870967744,94.32172846723304
33.74193548387097,99.89882349512264
35.54838709677419,105.47421290765828
37.354838709677416,111.04724602281759
39.16129032258064,116.6173141872768
40.96774193548387,122.18386717616472
42.774193548387096,127.74642614748083
44.58064516129032,133.30459314023508
46.387096774193544,138.8580572141641
48.193548387096776,144.40659740727557
50.0,149.95008274826588
